protein1,protein2,combined_score
9606.ENSP00000352565,9606.ENSP00000245451,1
9606.ENSP00000417404,9606.ENSP00000442920,1
9606.ENSP00000393241,9606.ENSP00000261303,1
9606.ENSP00000453508,9606.ENSP00000312143,1
9606.ENSP00000264156,9606.ENSP00000267430,1
9606.ENSP00000265171,9606.ENSP00000305988,1
9606.ENSP00000264110,9606.ENSP00000264414,1
9606.ENSP00000344166,9606.ENSP00000396045,1
9606.ENSP00000303452,9606.ENSP00000353198,1
9606.ENSP00000352925,9606.ENSP00000260947,1
9606.ENSP00000320543,9606.ENSP00000263991,1
9606.ENSP00000371859,9606.ENSP00000484855,1
9606.ENSP00000472445,9606.ENSP00000358159,1
9606.ENSP00000346088,9606.ENSP00000294189,1
9606.ENSP00000496044,9606.ENSP00000363384,1
9606.ENSP00000331831,9606.ENSP00000226218,1
9606.ENSP00000337701,9606.ENSP00000331831,1
9606.ENSP00000351807,9606.ENSP00000252037,1
9606.ENSP00000364035,9606.ENSP00000227525,1
9606.ENSP00000381250,9606.ENSP00000480821,1
9606.ENSP00000296215,9606.ENSP00000368801,1
9606.ENSP00000367029,9606.ENSP00000285398,1
9606.ENSP00000374280,9606.ENSP00000478121,1
9606.ENSP00000294189,9606.ENSP00000248342,1
9606.ENSP00000358840,9606.ENSP00000362058,1
9606.ENSP00000245451,9606.ENSP00000370297,1
9606.ENSP00000360811,9606.ENSP00000501277,1
9606.ENSP00000391594,9606.ENSP00000361359,1
9606.ENSP00000343158,9606.ENSP00000339115,1
9606.ENSP00000320885,9606.ENSP00000500986,1
9606.ENSP00000342889,9606.ENSP00000265963,1
9606.ENSP00000498246,9606.ENSP00000475028,1
9606.ENSP00000284240,9606.ENSP00000228837,1
9606.ENSP00000361731,9606.ENSP00000386538,1
9606.ENSP00000497569,9606.ENSP00000333667,1
9606.ENSP00000300403,9606.ENSP00000387875,1
9606.ENSP00000318646,9606.ENSP00000366135,1
9606.ENSP00000254730,9606.ENSP00000416429,1
9606.ENSP00000261313,9606.ENSP00000338057,1
9606.ENSP00000366404,9606.ENSP00000367910,1
9606.ENSP00000498684,9606.ENSP00000262713,1
9606.ENSP00000262193,9606.ENSP00000358474,1
9606.ENSP00000265195,9606.ENSP00000298545,1
9606.ENSP00000366249,9606.ENSP00000306788,1
9606.ENSP00000259895,9606.ENSP00000259953,1
9606.ENSP00000296102,9606.ENSP00000219479,1
9606.ENSP00000249269,9606.ENSP00000379784,1
9606.ENSP00000235090,9606.ENSP00000311677,1
9606.ENSP00000327994,9606.ENSP00000374455,1
9606.ENSP00000319788,9606.ENSP00000307235,1
9606.ENSP00000324956,9606.ENSP00000370625,1
9606.ENSP00000497406,9606.ENSP00000379658,1
9606.ENSP00000496496,9606.ENSP00000366682,1
9606.ENSP00000400513,9606.ENSP00000258975,1
9606.ENSP00000339324,9606.ENSP00000369145,1
9606.ENSP00000384604,9606.ENSP00000377374,1
9606.ENSP00000312304,9606.ENSP00000377311,1
9606.ENSP00000263239,9606.ENSP00000302768,1
9606.ENSP00000304643,9606.ENSP00000321106,1
9606.ENSP00000268482,9606.ENSP00000156109,1
9606.ENSP00000404220,9606.ENSP00000334308,1
9606.ENSP00000478303,9606.ENSP00000453801,1
9606.ENSP00000356150,9606.ENSP00000376848,1
9606.ENSP00000401508,9606.ENSP00000498074,1
9606.ENSP00000404190,9606.ENSP00000260363,1
9606.ENSP00000363018,9606.ENSP00000497744,1
9606.ENSP00000324101,9606.ENSP00000264896,1
9606.ENSP00000203001,9606.ENSP00000273962,1
9606.ENSP00000301046,9606.ENSP00000378517,1
9606.ENSP00000453801,9606.ENSP00000230640,1
9606.ENSP00000242140,9606.ENSP00000247226,1
9606.ENSP00000413572,9606.ENSP00000476117,1
9606.ENSP00000301200,9606.ENSP00000313079,1
9606.ENSP00000427004,9606.ENSP00000361084,1
9606.ENSP00000247191,9606.ENSP00000216367,1
9606.ENSP00000430950,9606.ENSP00000203629,1
9606.ENSP00000304592,9606.ENSP00000261584,1
9606.ENSP00000359596,9606.ENSP00000003084,1
9606.ENSP00000378409,9606.ENSP00000378856,1
9606.ENSP00000294728,9606.ENSP00000264896,1
9606.ENSP00000365588,9606.ENSP00000426503,1
9606.ENSP00000380150,9606.ENSP00000046794,1
9606.ENSP00000237201,9606.ENSP00000385205,1
9606.ENSP00000497594,9606.ENSP00000478877,1
9606.ENSP00000400591,9606.ENSP00000253363,1
9606.ENSP00000358217,9606.ENSP00000428982,1
9606.ENSP00000263181,9606.ENSP00000319417,1
9606.ENSP00000418268,9606.ENSP00000420176,1
9606.ENSP00000314649,9606.ENSP00000219481,1
9606.ENSP00000216714,9606.ENSP00000368458,1
9606.ENSP00000296702,9606.ENSP00000393388,1
9606.ENSP00000320025,9606.ENSP00000432459,1
9606.ENSP00000257749,9606.ENSP00000292174,1
9606.ENSP00000264230,9606.ENSP00000465759,1
9606.ENSP00000228799,9606.ENSP00000498867,1
9606.ENSP00000261584,9606.ENSP00000377446,1
9606.ENSP00000386597,9606.ENSP00000359224,1
9606.ENSP00000380661,9606.ENSP00000344314,1
9606.ENSP00000355013,9606.ENSP00000484710,1
9606.ENSP00000249299,9606.ENSP00000280665,1
9606.ENSP00000342889,9606.ENSP00000263663,1
9606.ENSP00000357565,9606.ENSP00000350512,1
9606.ENSP00000363787,9606.ENSP00000363322,1
9606.ENSP00000317177,9606.ENSP00000263088,1
9606.ENSP00000417548,9606.ENSP00000303356,1
9606.ENSP00000371419,9606.ENSP00000406598,1
9606.ENSP00000379401,9606.ENSP00000379383,1
9606.ENSP00000239891,9606.ENSP00000357453,1
9606.ENSP00000386226,9606.ENSP00000375730,1
9606.ENSP00000351159,9606.ENSP00000320949,1
9606.ENSP00000280772,9606.ENSP00000264638,1
9606.ENSP00000318861,9606.ENSP00000367564,1
9606.ENSP00000218388,9606.ENSP00000381231,1
9606.ENSP00000312599,9606.ENSP00000385927,1
9606.ENSP00000417401,9606.ENSP00000428982,1
9606.ENSP00000360268,9606.ENSP00000274353,1
9606.ENSP00000274849,9606.ENSP00000359688,1
9606.ENSP00000398632,9606.ENSP00000309572,1
9606.ENSP00000262367,9606.ENSP00000229595,1
9606.ENSP00000403039,9606.ENSP00000346634,1
9606.ENSP00000312311,9606.ENSP00000275230,1
9606.ENSP00000325738,9606.ENSP00000357754,1
9606.ENSP00000360966,9606.ENSP00000296102,1
9606.ENSP00000417898,9606.ENSP00000294353,1
9606.ENSP00000306157,9606.ENSP00000263864,1
9606.ENSP00000436607,9606.ENSP00000252723,1
9606.ENSP00000387303,9606.ENSP00000252037,1
9606.ENSP00000307491,9606.ENSP00000218348,1
9606.ENSP00000442068,9606.ENSP00000494957,1
9606.ENSP00000265070,9606.ENSP00000299138,1
9606.ENSP00000393417,9606.ENSP00000357731,1
9606.ENSP00000323527,9606.ENSP00000498603,1
9606.ENSP00000263168,9606.ENSP00000355629,1
9606.ENSP00000328854,9606.ENSP00000363384,1
9606.ENSP00000259239,9606.ENSP00000417078,1
9606.ENSP00000261405,9606.ENSP00000447730,1
9606.ENSP00000358554,9606.ENSP00000489236,1
9606.ENSP00000261308,9606.ENSP00000319240,1
9606.ENSP00000262850,9606.ENSP00000369757,1
9606.ENSP00000379612,9606.ENSP00000441875,1
9606.ENSP00000216479,9606.ENSP00000371278,1
9606.ENSP00000414066,9606.ENSP00000371607,1
9606.ENSP00000278980,9606.ENSP00000423897,1
9606.ENSP00000262193,9606.ENSP00000226574,1
9606.ENSP00000495672,9606.ENSP00000263239,1
9606.ENSP00000264381,9606.ENSP00000376848,1
9606.ENSP00000384109,9606.ENSP00000272645,1
9606.ENSP00000286398,9606.ENSP00000384670,1
9606.ENSP00000365048,9606.ENSP00000357022,1
9606.ENSP00000254803,9606.ENSP00000363384,1
9606.ENSP00000255189,9606.ENSP00000396308,1
9606.ENSP00000417602,9606.ENSP00000341082,1
9606.ENSP00000476100,9606.ENSP00000326806,1
9606.ENSP00000268057,9606.ENSP00000371472,1
9606.ENSP00000470972,9606.ENSP00000379506,1
9606.ENSP00000325690,9606.ENSP00000296861,1
9606.ENSP00000304292,9606.ENSP00000400333,1
9606.ENSP00000339804,9606.ENSP00000263341,1
9606.ENSP00000350698,9606.ENSP00000217456,1
9606.ENSP00000288937,9606.ENSP00000420714,1
9606.ENSP00000307786,9606.ENSP00000309945,1
9606.ENSP00000396308,9606.ENSP00000377284,1
9606.ENSP00000320147,9606.ENSP00000479667,1
9606.ENSP00000256151,9606.ENSP00000316152,1
9606.ENSP00000359859,9606.ENSP00000373404,1
9606.ENSP00000000412,9606.ENSP00000333298,1
9606.ENSP00000364490,9606.ENSP00000355518,1
9606.ENSP00000349658,9606.ENSP00000245816,1
9606.ENSP00000218758,9606.ENSP00000411355,1
9606.ENSP00000356548,9606.ENSP00000308179,1
9606.ENSP00000217244,9606.ENSP00000286398,1
9606.ENSP00000482063,9606.ENSP00000358862,1
9606.ENSP00000263774,9606.ENSP00000342056,1
9606.ENSP00000216727,9606.ENSP00000240185,1
9606.ENSP00000328570,9606.ENSP00000265462,1
9606.ENSP00000351346,9606.ENSP00000278243,1
9606.ENSP00000374280,9606.ENSP00000478303,1
9606.ENSP00000307567,9606.ENSP00000341885,1
9606.ENSP00000435096,9606.ENSP00000353741,1
9606.ENSP00000489236,9606.ENSP00000262367,1
9606.ENSP00000357829,9606.ENSP00000404843,1
9606.ENSP00000294179,9606.ENSP00000258301,1
9606.ENSP00000493153,9606.ENSP00000321106,1
9606.ENSP00000470972,9606.ENSP00000418082,1
9606.ENSP00000451974,9606.ENSP00000216714,1
9606.ENSP00000258821,9606.ENSP00000359571,1
9606.ENSP00000379683,9606.ENSP00000310721,1
9606.ENSP00000343957,9606.ENSP00000312652,1
9606.ENSP00000167106,9606.ENSP00000362524,1
9606.ENSP00000216492,9606.ENSP00000218230,1
9606.ENSP00000256759,9606.ENSP00000252677,1
9606.ENSP00000228347,9606.ENSP00000263857,1
9606.ENSP00000418081,9606.ENSP00000252729,1
9606.ENSP00000328854,9606.ENSP00000227474,1
9606.ENSP00000360871,9606.ENSP00000263341,1
9606.ENSP00000303424,9606.ENSP00000320147,1
9606.ENSP00000252804,9606.ENSP00000172229,1
9606.ENSP00000385958,9606.ENSP00000233025,1
9606.ENSP00000385787,9606.ENSP00000465213,1
9606.ENSP00000312126,9606.ENSP00000358513,1
9606.ENSP00000380252,9606.ENSP00000311005,1
9606.ENSP00000392782,9606.ENSP00000494352,1
9606.ENSP00000451291,9606.ENSP00000364289,1
9606.ENSP00000282486,9606.ENSP00000332772,1
9606.ENSP00000221452,9606.ENSP00000271308,1
9606.ENSP00000415433,9606.ENSP00000414237,1
9606.ENSP00000366557,9606.ENSP00000356520,1
9606.ENSP00000405252,9606.ENSP00000025301,1
9606.ENSP00000354772,9606.ENSP00000266556,1
9606.ENSP00000338185,9606.ENSP00000408205,1
9606.ENSP00000478993,9606.ENSP00000350005,1
9606.ENSP00000370193,9606.ENSP00000262265,1
9606.ENSP00000361982,9606.ENSP00000359859,1
9606.ENSP00000254759,9606.ENSP00000390783,1
9606.ENSP00000329219,9606.ENSP00000296145,1
9606.ENSP00000437256,9606.ENSP00000221486,1
9606.ENSP00000231198,9606.ENSP00000365837,1
9606.ENSP00000323568,9606.ENSP00000303830,1
9606.ENSP00000295757,9606.ENSP00000430432,1
9606.ENSP00000357731,9606.ENSP00000324633,1
9606.ENSP00000296411,9606.ENSP00000307940,1
9606.ENSP00000300589,9606.ENSP00000229332,1
9606.ENSP00000227507,9606.ENSP00000361405,1
9606.ENSP00000356602,9606.ENSP00000350223,1
9606.ENSP00000384863,9606.ENSP00000285968,1
9606.ENSP00000275525,9606.ENSP00000278407,1
9606.ENSP00000362576,9606.ENSP00000468633,1
9606.ENSP00000245907,9606.ENSP00000265132,1
9606.ENSP00000290949,9606.ENSP00000337850,1
9606.ENSP00000367137,9606.ENSP00000454404,1
9606.ENSP00000361446,9606.ENSP00000360327,1
9606.ENSP00000434729,9606.ENSP00000419475,1
9606.ENSP00000316609,9606.ENSP00000335463,1
9606.ENSP00000307046,9606.ENSP00000330606,1
9606.ENSP00000377944,9606.ENSP00000346725,1
9606.ENSP00000376893,9606.ENSP00000403104,1
9606.ENSP00000263681,9606.ENSP00000055077,1
9606.ENSP00000325326,9606.ENSP00000370337,1
9606.ENSP00000301455,9606.ENSP00000346839,1
9606.ENSP00000229402,9606.ENSP00000478699,1
9606.ENSP00000229379,9606.ENSP00000222674,1
9606.ENSP00000362208,9606.ENSP00000362744,1
9606.ENSP00000011653,9606.ENSP00000309767,1
9606.ENSP00000401277,9606.ENSP00000338019,1
9606.ENSP00000350704,9606.ENSP00000478070,1
9606.ENSP00000365663,9606.ENSP00000306522,1
9606.ENSP00000302579,9606.ENSP00000430242,1
9606.ENSP00000497641,9606.ENSP00000307940,1
9606.ENSP00000363330,9606.ENSP00000228434,1
9606.ENSP00000275764,9606.ENSP00000360500,1
9606.ENSP00000229238,9606.ENSP00000351492,1
9606.ENSP00000481029,9606.ENSP00000178638,1
9606.ENSP00000292586,9606.ENSP00000393241,1
9606.ENSP00000257430,9606.ENSP00000216968,1
9606.ENSP00000305651,9606.ENSP00000263549,1
9606.ENSP00000356951,9606.ENSP00000477802,1
9606.ENSP00000493946,9606.ENSP00000370521,1
9606.ENSP00000328698,9606.ENSP00000400312,1
9606.ENSP00000351777,9606.ENSP00000300738,1
9606.ENSP00000300061,9606.ENSP00000292427,1
9606.ENSP00000262903,9606.ENSP00000381270,1
9606.ENSP00000228476,9606.ENSP00000368066,1
9606.ENSP00000417401,9606.ENSP00000481559,1
9606.ENSP00000263377,9606.ENSP00000262376,1
9606.ENSP00000393098,9606.ENSP00000338185,1
9606.ENSP00000290200,9606.ENSP00000324633,1
9606.ENSP00000389103,9606.ENSP00000371514,1
9606.ENSP00000342136,9606.ENSP00000264658,1
9606.ENSP00000261868,9606.ENSP00000245539,1
9606.ENSP00000245451,9606.ENSP00000264664,1
9606.ENSP00000360973,9606.ENSP00000501180,1
9606.ENSP00000418563,9606.ENSP00000232888,1
9606.ENSP00000262584,9606.ENSP00000472469,1
9606.ENSP00000259154,9606.ENSP00000337443,1
9606.ENSP00000478754,9606.ENSP00000379144,1
9606.ENSP00000233468,9606.ENSP00000368881,1
9606.ENSP00000261845,9606.ENSP00000263285,1
9606.ENSP00000265195,9606.ENSP00000346027,1
9606.ENSP00000256722,9606.ENSP00000300738,1
9606.ENSP00000328088,9606.ENSP00000365147,1
9606.ENSP00000392270,9606.ENSP00000386636,1
9606.ENSP00000265963,9606.ENSP00000252996,1
9606.ENSP00000465759,9606.ENSP00000385722,1
9606.ENSP00000257829,9606.ENSP00000296411,1
9606.ENSP00000283195,9606.ENSP00000209873,1
9606.ENSP00000337991,9606.ENSP00000489236,1
9606.ENSP00000387262,9606.ENSP00000314556,1
9606.ENSP00000370521,9606.ENSP00000428331,1
9606.ENSP00000408295,9606.ENSP00000258774,1
9606.ENSP00000228347,9606.ENSP00000307567,1
9606.ENSP00000257177,9606.ENSP00000425979,1
9606.ENSP00000484525,9606.ENSP00000362532,1
9606.ENSP00000156109,9606.ENSP00000480421,1
9606.ENSP00000387303,9606.ENSP00000357812,1
9606.ENSP00000258383,9606.ENSP00000323047,1
9606.ENSP00000246112,9606.ENSP00000262965,1
9606.ENSP00000371294,9606.ENSP00000347583,1
9606.ENSP00000300738,9606.ENSP00000356785,1
9606.ENSP00000432660,9606.ENSP00000336740,1
9606.ENSP00000361668,9606.ENSP00000366061,1
9606.ENSP00000254301,9606.ENSP00000447730,1
9606.ENSP00000301825,9606.ENSP00000369456,1
9606.ENSP00000352608,9606.ENSP00000333984,1
9606.ENSP00000348455,9606.ENSP00000296343,1
9606.ENSP00000281828,9606.ENSP00000335074,1
9606.ENSP00000434729,9606.ENSP00000382688,1
9606.ENSP00000380184,9606.ENSP00000308610,1
9606.ENSP00000472985,9606.ENSP00000359297,1
9606.ENSP00000416429,9606.ENSP00000265245,1
9606.ENSP00000290866,9606.ENSP00000265074,1
9606.ENSP00000423399,9606.ENSP00000298310,1
9606.ENSP00000308717,9606.ENSP00000338057,1
9606.ENSP00000354961,9606.ENSP00000339720,1
9606.ENSP00000310551,9606.ENSP00000284061,1
9606.ENSP00000331897,9606.ENSP00000263774,1
9606.ENSP00000359939,9606.ENSP00000321711,1
9606.ENSP00000415822,9606.ENSP00000345195,1
9606.ENSP00000314441,9606.ENSP00000161863,1
9606.ENSP00000310726,9606.ENSP00000329452,1
9606.ENSP00000258774,9606.ENSP00000313171,1
9606.ENSP00000351490,9606.ENSP00000339527,1
9606.ENSP00000312981,9606.ENSP00000496842,1
9606.ENSP00000359339,9606.ENSP00000489236,1
9606.ENSP00000478121,9606.ENSP00000259895,1
9606.ENSP00000227471,9606.ENSP00000270139,1
9606.ENSP00000339795,9606.ENSP00000338862,1
9606.ENSP00000356001,9606.ENSP00000360498,1
9606.ENSP00000270625,9606.ENSP00000343867,1
9606.ENSP00000259607,9606.ENSP00000296545,1
9606.ENSP00000362799,9606.ENSP00000360310,1
9606.ENSP00000363322,9606.ENSP00000273480,1
9606.ENSP00000448054,9606.ENSP00000378295,1
9606.ENSP00000375730,9606.ENSP00000329757,1
9606.ENSP00000299663,9606.ENSP00000302569,1
9606.ENSP00000270458,9606.ENSP00000394954,1
9606.ENSP00000495128,9606.ENSP00000346483,1
9606.ENSP00000231887,9606.ENSP00000081029,1
9606.ENSP00000363275,9606.ENSP00000291536,1
9606.ENSP00000255390,9606.ENSP00000296597,1
9606.ENSP00000427421,9606.ENSP00000367623,1
9606.ENSP00000351908,9606.ENSP00000433623,1
9606.ENSP00000315017,9606.ENSP00000252602,1
9606.ENSP00000412292,9606.ENSP00000257934,1
9606.ENSP00000363286,9606.ENSP00000306983,1
9606.ENSP00000298717,9606.ENSP00000364289,1
9606.ENSP00000359531,9606.ENSP00000411124,1
9606.ENSP00000359297,9606.ENSP00000379888,1
9606.ENSP00000470788,9606.ENSP00000262345,1
9606.ENSP00000298552,9606.ENSP00000274376,1
9606.ENSP00000451291,9606.ENSP00000351137,1
9606.ENSP00000377793,9606.ENSP00000257829,1
9606.ENSP00000226574,9606.ENSP00000260970,1
9606.ENSP00000232424,9606.ENSP00000292599,1
9606.ENSP00000199814,9606.ENSP00000424417,1
9606.ENSP00000364204,9606.ENSP00000262291,1
9606.ENSP00000291576,9606.ENSP00000326981,1
9606.ENSP00000323047,9606.ENSP00000357823,1
9606.ENSP00000281806,9606.ENSP00000385510,1
9606.ENSP00000226760,9606.ENSP00000348911,1
9606.ENSP00000367029,9606.ENSP00000363384,1
9606.ENSP00000314129,9606.ENSP00000419465,1
9606.ENSP00000341819,9606.ENSP00000334463,1
9606.ENSP00000230050,9606.ENSP00000325312,1
9606.ENSP00000286317,9606.ENSP00000385216,1
9606.ENSP00000326550,9606.ENSP00000260363,1
9606.ENSP00000363349,9606.ENSP00000263702,1
9606.ENSP00000495128,9606.ENSP00000312066,1
